year,month,period,region,fuel_switched_from,hp_type,total_installs,cleanbc_rebate_installs,utility_rebate_installs,self_funded_installs,market_rate_installs,low_mid_income_installs,est_ghg_avoided_tco2e_yr,est_annual_energy_savings_cad,cumulative_stock_province,bc_total_households,penetration_pct
2018,1,2018-01,Vancouver Island,propane,water_heater,1,0,0,1,0,1,3.2,1180,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,electric_baseboard,mini_split,30,1,6,23,24,6,12.0,9300,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,electric_baseboard,central_ducted,24,0,5,19,19,5,9.6,7440,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,electric_baseboard,ground_source,2,0,0,2,1,1,0.8,620,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,electric_baseboard,water_heater,6,0,1,5,4,2,2.4,1860,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,natural_gas,mini_split,36,1,7,28,29,7,75.6,35280,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,natural_gas,central_ducted,28,1,6,21,22,6,58.8,27440,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,natural_gas,ground_source,3,0,0,3,2,1,6.3,2940,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,natural_gas,water_heater,7,0,1,6,5,2,14.7,6860,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,oil,mini_split,8,0,1,7,6,2,36.8,11360,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,oil,central_ducted,6,0,1,5,4,2,27.6,8520,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,oil,water_heater,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,propane,mini_split,6,0,1,5,4,2,19.2,7080,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,propane,central_ducted,4,0,0,4,3,1,12.8,4720,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,propane,water_heater,1,0,0,1,0,1,3.2,1180,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,electric_baseboard,mini_split,22,0,4,18,18,4,8.8,6820,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,electric_baseboard,central_ducted,17,0,3,14,13,4,6.8,5270,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,electric_baseboard,ground_source,1,0,0,1,0,1,0.4,310,122281,1850000,6.61
2018,1,2018-01,Thompson-Okanagan,electric_baseboard,water_heater,4,0,0,4,3,1,1.6,1240,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,natural_gas,mini_split,30,1,6,23,24,6,63.0,29400,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,natural_gas,central_ducted,23,0,5,18,18,5,48.3,22540,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,natural_gas,ground_source,2,0,0,2,1,1,4.2,1960,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,natural_gas,water_heater,6,0,1,5,4,2,12.6,5880,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,oil,mini_split,7,0,1,6,5,2,32.2,9940,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,oil,central_ducted,5,0,1,4,4,1,23.0,7100,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,oil,water_heater,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,propane,mini_split,3,0,0,3,2,1,9.6,3540,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,propane,central_ducted,3,0,0,3,2,1,9.6,3540,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,electric_baseboard,mini_split,17,0,3,14,13,4,6.8,5270,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,electric_baseboard,central_ducted,13,0,2,11,10,3,5.2,4030,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,electric_baseboard,ground_source,1,0,0,1,0,1,0.4,310,122281,1850000,6.61
2018,1,2018-01,Fraser Valley,electric_baseboard,water_heater,3,0,0,3,2,1,1.2,930,122281,1850000,6.61
2018,1,2018-01,Northern BC,natural_gas,mini_split,10,0,2,8,8,2,21.0,9800,122281,1850000,6.61
2018,1,2018-01,Northern BC,natural_gas,central_ducted,7,0,1,6,5,2,14.7,6860,122281,1850000,6.61
2018,1,2018-01,Northern BC,natural_gas,water_heater,2,0,0,2,1,1,4.2,1960,122281,1850000,6.61
2018,1,2018-01,Northern BC,oil,mini_split,6,0,1,5,4,2,27.6,8520,122281,1850000,6.61
2018,1,2018-01,Northern BC,oil,central_ducted,5,0,1,4,4,1,23.0,7100,122281,1850000,6.61
2018,1,2018-01,Northern BC,oil,water_heater,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Northern BC,propane,mini_split,10,0,2,8,8,2,32.0,11800,122281,1850000,6.61
2018,1,2018-01,Northern BC,propane,central_ducted,7,0,1,6,5,2,22.4,8260,122281,1850000,6.61
2018,1,2018-01,Northern BC,propane,water_heater,2,0,0,2,1,1,6.4,2360,122281,1850000,6.61
2018,1,2018-01,Northern BC,electric_baseboard,mini_split,10,0,2,8,8,2,4.0,3100,122281,1850000,6.61
2018,1,2018-01,Northern BC,electric_baseboard,central_ducted,7,0,1,6,5,2,2.8,2170,122281,1850000,6.61
2018,1,2018-01,Northern BC,electric_baseboard,water_heater,2,0,0,2,1,1,0.8,620,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,natural_gas,mini_split,10,0,2,8,8,2,21.0,9800,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,natural_gas,central_ducted,8,0,1,7,6,2,16.8,7840,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,natural_gas,water_heater,2,0,0,2,1,1,4.2,1960,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,oil,mini_split,2,0,0,2,1,1,9.2,2840,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,oil,central_ducted,2,0,0,2,1,1,9.2,2840,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,propane,mini_split,1,0,0,1,0,1,3.2,1180,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,propane,central_ducted,1,0,0,1,0,1,3.2,1180,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,electric_baseboard,mini_split,6,0,1,5,4,2,2.4,1860,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,electric_baseboard,central_ducted,5,0,1,4,4,1,2.0,1550,122281,1850000,6.61
2018,1,2018-01,Kootenay-Boundary,electric_baseboard,water_heater,1,0,0,1,0,1,0.4,310,122281,1850000,6.61
2018,1,2018-01,Cariboo,natural_gas,mini_split,6,0,1,5,4,2,12.6,5880,122281,1850000,6.61
2018,1,2018-01,Cariboo,natural_gas,central_ducted,4,0,0,4,3,1,8.4,3920,122281,1850000,6.61
2018,1,2018-01,Cariboo,natural_gas,water_heater,1,0,0,1,0,1,2.1,980,122281,1850000,6.61
2018,1,2018-01,Cariboo,oil,mini_split,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Cariboo,oil,central_ducted,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Cariboo,electric_baseboard,mini_split,3,0,0,3,2,1,1.2,930,122281,1850000,6.61
2018,1,2018-01,Cariboo,electric_baseboard,central_ducted,2,0,0,2,1,1,0.8,620,122281,1850000,6.61
2018,2,2018-02,Lower Mainland,natural_gas,mini_split,175,7,38,130,143,32,367.5,171500,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,natural_gas,central_ducted,138,5,30,103,113,25,289.8,135240,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,natural_gas,ground_source,14,0,3,11,11,3,29.4,13720,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,natural_gas,water_heater,36,1,7,28,29,7,75.6,35280,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,oil,mini_split,37,1,8,28,30,7,170.2,52540,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,oil,central_ducted,30,1,6,23,24,6,138.0,42600,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,oil,ground_source,3,0,0,3,2,1,13.8,4260,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,oil,water_heater,7,0,1,6,5,2,32.2,9940,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,propane,mini_split,25,1,5,19,20,5,80.0,29500,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,propane,central_ducted,20,0,4,16,16,4,64.0,23600,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,propane,ground_source,2,0,0,2,1,1,6.4,2360,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,propane,water_heater,5,0,1,4,4,1,16.0,5900,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,electric_baseboard,mini_split,77,3,16,58,63,14,30.8,23870,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,electric_baseboard,central_ducted,61,2,13,46,50,11,24.4,18910,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,electric_baseboard,ground_source,6,0,1,5,4,2,2.4,1860,123627,1850000,6.68
2018,2,2018-02,Lower Mainland,electric_baseboard,water_heater,16,0,3,13,13,3,6.4,4960,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,natural_gas,mini_split,54,2,11,41,44,10,113.4,52920,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,natural_gas,central_ducted,42,1,9,32,34,8,88.2,41160,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,natural_gas,ground_source,4,0,0,4,3,1,8.4,3920,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,natural_gas,water_heater,11,0,2,9,9,2,23.1,10780,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,oil,mini_split,11,0,2,9,9,2,50.6,15620,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,oil,central_ducted,9,0,1,8,7,2,41.4,12780,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,oil,water_heater,2,0,0,2,1,1,9.2,2840,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,propane,mini_split,8,0,1,7,6,2,25.6,9440,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,propane,central_ducted,6,0,1,5,4,2,19.2,7080,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,propane,water_heater,1,0,0,1,0,1,3.2,1180,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,electric_baseboard,mini_split,27,1,5,21,22,5,10.8,8370,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,electric_baseboard,central_ducted,21,0,4,17,17,4,8.4,6510,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,electric_baseboard,ground_source,2,0,0,2,1,1,0.8,620,123627,1850000,6.68
2018,2,2018-02,Vancouver Island,electric_baseboard,water_heater,5,0,1,4,4,1,2.0,1550,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,natural_gas,mini_split,42,1,9,32,34,8,88.2,41160,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,natural_gas,central_ducted,33,1,7,25,27,6,69.3,32340,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,natural_gas,ground_source,3,0,0,3,2,1,6.3,2940,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,natural_gas,water_heater,8,0,1,7,6,2,16.8,7840,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,oil,mini_split,9,0,1,8,7,2,41.4,12780,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,oil,central_ducted,7,0,1,6,5,2,32.2,9940,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,oil,water_heater,1,0,0,1,0,1,4.6,1420,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,propane,mini_split,5,0,1,4,4,1,16.0,5900,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,propane,central_ducted,4,0,0,4,3,1,12.8,4720,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,propane,water_heater,1,0,0,1,0,1,3.2,1180,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,electric_baseboard,mini_split,20,0,4,16,16,4,8.0,6200,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,electric_baseboard,central_ducted,16,0,3,13,13,3,6.4,4960,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,electric_baseboard,ground_source,1,0,0,1,0,1,0.4,310,123627,1850000,6.68
2018,2,2018-02,Thompson-Okanagan,electric_baseboard,water_heater,4,0,0,4,3,1,1.6,1240,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,natural_gas,mini_split,35,1,7,27,28,7,73.5,34300,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,natural_gas,central_ducted,27,1,5,21,22,5,56.7,26460,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,natural_gas,ground_source,2,0,0,2,1,1,4.2,1960,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,natural_gas,water_heater,7,0,1,6,5,2,14.7,6860,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,oil,mini_split,7,0,1,6,5,2,32.2,9940,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,oil,central_ducted,5,0,1,4,4,1,23.0,7100,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,oil,water_heater,1,0,0,1,0,1,4.6,1420,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,propane,mini_split,4,0,0,4,3,1,12.8,4720,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,propane,central_ducted,3,0,0,3,2,1,9.6,3540,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,propane,water_heater,1,0,0,1,0,1,3.2,1180,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,electric_baseboard,mini_split,15,0,3,12,12,3,6.0,4650,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,electric_baseboard,central_ducted,12,0,2,10,9,3,4.8,3720,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,electric_baseboard,ground_source,1,0,0,1,0,1,0.4,310,123627,1850000,6.68
2018,2,2018-02,Fraser Valley,electric_baseboard,water_heater,3,0,0,3,2,1,1.2,930,123627,1850000,6.68
2018,2,2018-02,Northern BC,natural_gas,mini_split,10,0,2,8,8,2,21.0,9800,123627,1850000,6.68
2018,2,2018-02,Northern BC,natural_gas,central_ducted,7,0,1,6,5,2,14.7,6860,123627,1850000,6.68
2018,2,2018-02,Northern BC,natural_gas,water_heater,2,0,0,2,1,1,4.2,1960,123627,1850000,6.68
2018,2,2018-02,Northern BC,oil,mini_split,7,0,1,6,5,2,32.2,9940,123627,1850000,6.68
2018,2,2018-02,Northern BC,oil,central_ducted,6,0,1,5,4,2,27.6,8520,123627,1850000,6.68
2018,2,2018-02,Northern BC,oil,water_heater,1,0,0,1,0,1,4.6,1420,123627,1850000,6.68
2018,2,2018-02,Northern BC,propane,mini_split,10,0,2,8,8,2,32.0,11800,123627,1850000,6.68
2018,2,2018-02,Northern BC,propane,central_ducted,8,0,1,7,6,2,25.6,9440,123627,1850000,6.68
2018,2,2018-02,Northern BC,propane,water_heater,2,0,0,2,1,1,6.4,2360,123627,1850000,6.68
2018,2,2018-02,Northern BC,electric_baseboard,mini_split,11,0,2,9,9,2,4.4,3410,123627,1850000,6.68
2018,2,2018-02,Northern BC,electric_baseboard,central_ducted,9,0,1,8,7,2,3.6,2790,123627,1850000,6.68
2018,2,2018-02,Northern BC,electric_baseboard,water_heater,2,0,0,2,1,1,0.8,620,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,natural_gas,mini_split,13,0,2,11,10,3,27.3,12740,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,natural_gas,central_ducted,11,0,2,9,9,2,23.1,10780,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,natural_gas,ground_source,1,0,0,1,0,1,2.1,980,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,natural_gas,water_heater,2,0,0,2,1,1,4.2,1960,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,oil,mini_split,3,0,0,3,2,1,13.8,4260,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,oil,central_ducted,2,0,0,2,1,1,9.2,2840,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,propane,mini_split,1,0,0,1,0,1,3.2,1180,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,propane,central_ducted,1,0,0,1,0,1,3.2,1180,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,electric_baseboard,mini_split,6,0,1,5,4,2,2.4,1860,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,electric_baseboard,central_ducted,5,0,1,4,4,1,2.0,1550,123627,1850000,6.68
2018,2,2018-02,Kootenay-Boundary,electric_baseboard,water_heater,1,0,0,1,0,1,0.4,310,123627,1850000,6.68
2018,2,2018-02,Cariboo,natural_gas,mini_split,5,0,1,4,4,1,10.5,4900,123627,1850000,6.68
2018,2,2018-02,Cariboo,natural_gas,central_ducted,4,0,0,4,3,1,8.4,3920,123627,1850000,6.68
2018,2,2018-02,Cariboo,natural_gas,water_heater,1,0,0,1,0,1,2.1,980,123627,1850000,6.68
2018,2,2018-02,Cariboo,electric_baseboard,mini_split,3,0,0,3,2,1,1.2,930,123627,1850000,6.68
2018,2,2018-02,Cariboo,electric_baseboard,central_ducted,2,0,0,2,1,1,0.8,620,123627,1850000,6.68
2018,3,2018-03,Lower Mainland,natural_gas,mini_split,230,9,50,171,188,42,483.0,225400,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,natural_gas,central_ducted,182,7,40,135,149,33,382.2,178360,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,natural_gas,ground_source,19,0,4,15,15,4,39.9,18620,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,natural_gas,water_heater,48,1,10,37,39,9,100.8,47040,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,oil,mini_split,49,1,10,38,40,9,225.4,69580,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,oil,central_ducted,39,1,8,30,31,8,179.4,55380,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,oil,ground_source,4,0,0,4,3,1,18.4,5680,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,oil,water_heater,10,0,2,8,8,2,46.0,14200,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,propane,mini_split,37,1,8,28,30,7,118.4,43660,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,propane,central_ducted,29,1,6,22,23,6,92.8,34220,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,propane,ground_source,3,0,0,3,2,1,9.6,3540,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,propane,water_heater,7,0,1,6,5,2,22.4,8260,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,electric_baseboard,mini_split,118,4,25,89,96,22,47.2,36580,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,electric_baseboard,central_ducted,93,3,20,70,76,17,37.2,28830,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,electric_baseboard,ground_source,9,0,1,8,7,2,3.6,2790,125602,1850000,6.79
2018,3,2018-03,Lower Mainland,electric_baseboard,water_heater,24,0,5,19,19,5,9.6,7440,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,natural_gas,mini_split,79,3,17,59,64,15,165.9,77420,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,natural_gas,central_ducted,62,2,13,47,50,12,130.2,60760,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,natural_gas,ground_source,6,0,1,5,4,2,12.6,5880,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,natural_gas,water_heater,16,0,3,13,13,3,33.6,15680,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,oil,mini_split,19,0,4,15,15,4,87.4,26980,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,oil,central_ducted,15,0,3,12,12,3,69.0,21300,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,oil,ground_source,1,0,0,1,0,1,4.6,1420,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,oil,water_heater,4,0,0,4,3,1,18.4,5680,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,propane,mini_split,12,0,2,10,9,3,38.4,14160,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,propane,central_ducted,9,0,1,8,7,2,28.8,10620,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,propane,ground_source,1,0,0,1,0,1,3.2,1180,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,propane,water_heater,2,0,0,2,1,1,6.4,2360,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,electric_baseboard,mini_split,46,1,10,35,37,9,18.4,14260,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,electric_baseboard,central_ducted,36,1,7,28,29,7,14.4,11160,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,electric_baseboard,ground_source,3,0,0,3,2,1,1.2,930,125602,1850000,6.79
2018,3,2018-03,Vancouver Island,electric_baseboard,water_heater,9,0,1,8,7,2,3.6,2790,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,natural_gas,mini_split,67,2,14,51,54,13,140.7,65660,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,natural_gas,central_ducted,53,2,11,40,43,10,111.3,51940,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,natural_gas,ground_source,5,0,1,4,4,1,10.5,4900,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,natural_gas,water_heater,14,0,3,11,11,3,29.4,13720,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,oil,mini_split,14,0,3,11,11,3,64.4,19880,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,oil,central_ducted,11,0,2,9,9,2,50.6,15620,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,oil,ground_source,1,0,0,1,0,1,4.6,1420,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,oil,water_heater,3,0,0,3,2,1,13.8,4260,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,propane,mini_split,11,0,2,9,9,2,35.2,12980,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,propane,central_ducted,9,0,1,8,7,2,28.8,10620,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,propane,water_heater,2,0,0,2,1,1,6.4,2360,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,electric_baseboard,mini_split,36,1,7,28,29,7,14.4,11160,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,electric_baseboard,central_ducted,29,1,6,22,23,6,11.6,8990,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,electric_baseboard,ground_source,3,0,0,3,2,1,1.2,930,125602,1850000,6.79
2018,3,2018-03,Thompson-Okanagan,electric_baseboard,water_heater,7,0,1,6,5,2,2.8,2170,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,natural_gas,mini_split,39,1,8,30,31,8,81.9,38220,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,natural_gas,central_ducted,31,1,6,24,25,6,65.1,30380,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,natural_gas,ground_source,3,0,0,3,2,1,6.3,2940,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,natural_gas,water_heater,8,0,1,7,6,2,16.8,7840,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,oil,mini_split,9,0,1,8,7,2,41.4,12780,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,oil,central_ducted,7,0,1,6,5,2,32.2,9940,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,oil,water_heater,1,0,0,1,0,1,4.6,1420,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,propane,mini_split,6,0,1,5,4,2,19.2,7080,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,propane,central_ducted,5,0,1,4,4,1,16.0,5900,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,propane,water_heater,1,0,0,1,0,1,3.2,1180,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,electric_baseboard,mini_split,25,1,5,19,20,5,10.0,7750,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,electric_baseboard,central_ducted,20,0,4,16,16,4,8.0,6200,125602,1850000,6.79
2018,3,2018-03,Fraser Valley,electric_baseboard,ground_source,2,0,0,2,1,1,0.8,620,125602,1850000,6.79
